source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
pushup_cdc_01.webm,975,pushup_cdc,177.179,173.235,171.863,1.0,16.351,0.0,0.8372,2.821,5.066,5.066,0,1.468,1.0,0.185,1.468,0,top,0,0,0,0,0
pushup_cdc_01.webm,990,pushup_cdc,178.357,173.435,172.644,1.0,25.144,0.0,0.8867,1.643,3.845,3.845,0,2.352,0.398,1.561,2.352,0,top,0,0,0,0,0
pushup_cdc_01.webm,1005,pushup_cdc,179.13,172.776,172.36,1.0,19.736,0.0,0.871,0.87,4.273,4.273,0,1.543,1.314,0.567,1.543,0,top,0,0,0,0,0
pushup_cdc_01.webm,1020,pushup_cdc,179.013,171.941,171.466,1.0,22.23,0.0,0.8387,0.987,5.127,5.127,0,0.232,1.668,1.787,1.787,0,top,0,0,0,0,0
pushup_cdc_01.webm,1035,pushup_cdc,178.337,169.751,170.565,1.0,33.277,0.0,0.9492,1.663,1.746,1.746,0,1.35,4.372,1.798,4.372,0,top,0,0,0,0,0
pushup_cdc_01.webm,1050,pushup_cdc,177.663,168.396,169.556,1.0,46.584,0.0,0.9202,2.337,2.67,2.67,0,1.347,2.705,2.015,2.705,0,top,0,0,0,0,0
pushup_cdc_01.webm,1065,pushup_cdc,170.593,79.576,84.098,1.0,60.545,0.0,3.0992,9.407,86.684,86.684,1,14.115,177.332,170.619,177.332,0,top,0,0,0,1,1
pushup_cdc_01.webm,1095,pushup_cdc,173.547,177.21,179.454,1.0,22.581,0.0,0.5181,6.453,0.465,6.453,0,2.949,97.464,95.191,97.464,0,top,0,0,1,0,1
pushup_cdc_01.webm,1110,pushup_cdc,170.225,178.946,176.118,1.0,11.338,0.0,0.4709,9.775,5.187,9.775,0,6.632,3.466,6.661,6.661,0,top,0,0,1,0,1
pushup_cdc_01.webm,1125,pushup_cdc,179.676,176.677,176.516,1.0,0.61,0.0,0.316,0.324,6.887,6.887,0,18.869,4.529,0.794,18.869,0,top,0,0,1,0,1
